"ea","path","guess_type","symbol","m2_trades","m2_report","m1_ran","m1_report","m1_pf","m1_trades","m1_net","m1_eqdd","tier","note","ea_index"
"PumLot V.1.1 exp mt5","2024-06\New folder\PumLot V.1.1 exp mt5.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","30"
"PumLot V.1.1 exp mt5","2024-06\New folder\PumLot V.1.1 exp mt5.ex5","unknown-ea","EURUSD","51","MS5_0030_M2_EURUSD.htm","True","MS5_0030_M1_EURUSD.htm","1.03","163","56.21","3.7","Tier A","","30"
"PumLot V.1.1 exp mt5","2024-06\New folder\PumLot V.1.1 exp mt5.ex5","unknown-ea","USDJPY","29","MS5_0030_M2_USDJPY.htm","True","",,,,,"","m1-no-report","30"
"PumLot V.1.1 exp mt5","2024-06\New folder\PumLot V.1.1 exp mt5.ex5","unknown-ea","AUDNZD","21","MS5_0030_M2_AUDNZD.htm","True","MS5_0030_M1_AUDNZD.htm","0.94","117","-59.03","2.19","Reject","","30"
"ycp zigzag vs ema  v04","2024-06\New folder\ycp zigzag vs ema  v04.ex5","unknown-ea","XAUUSD","0","MS5_0031_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","31"
"ycp zigzag vs ema  v04","2024-06\New folder\ycp zigzag vs ema  v04.ex5","unknown-ea","EURUSD","0","MS5_0031_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","31"
"ycp zigzag vs ema  v04","2024-06\New folder\ycp zigzag vs ema  v04.ex5","unknown-ea","USDJPY","0","MS5_0031_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","31"
"ycp zigzag vs ema  v04","2024-06\New folder\ycp zigzag vs ema  v04.ex5","unknown-ea","AUDNZD","0","MS5_0031_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","31"
"AI   ikiiGai Final Version6.01 Expire 30122024","2024-10\AI   ikiiGai Final Version6.01 Expire 30122024.ex5","unknown-ea","XAUUSD","0","MS5_0032_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","32"
"AI   ikiiGai Final Version6.01 Expire 30122024","2024-10\AI   ikiiGai Final Version6.01 Expire 30122024.ex5","unknown-ea","EURUSD","0","MS5_0032_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","32"
"AI   ikiiGai Final Version6.01 Expire 30122024","2024-10\AI   ikiiGai Final Version6.01 Expire 30122024.ex5","unknown-ea","USDJPY","0","MS5_0032_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","32"
